제작사,제원관리번호,차명,연식,제작일자,셀 간 균형,평균전압_OCV_meas,SOC_calc,사용연수(t),캘린더 열화(△Q_cal),사이클 열화(△Q_cyc),SoH_pred(%),취득원가,연간감가비,조정연간감가비,중고거래가격
기아 주식회사,A0110007300061221,EV6,2022,2021-11-04,우수,4.02,92.83119567,3.705555556,0.038499639,0.13912026,82.23801005,"₩25,400,000 ","₩4,706,056 ","₩5,722,482 ","₩19,677,518 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-21,우수,4.02,92.83119567,3.575,0.037815341,0.079241548,88.29431108,"₩25,400,000 ","₩4,540,250 ","₩5,142,177 ","₩20,257,823 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-21,우수,4.02,92.83119567,3.575,0.037815341,0.07154867,89.06359892,"₩25,400,000 ","₩4,540,250 ","₩5,097,762 ","₩20,302,238 "
기아 주식회사,A0110007300071221,EV6,2022,2021-11-12,우수,4.02,92.83119567,3.683333333,0.038384024,0.11886298,84.27529958,"₩25,400,000 ","₩4,677,833 ","₩5,550,658 ","₩19,849,342 "
기아 주식회사,A0110007300181221,EV6,2022,2021-12-13,우수,4.02,92.83119567,3.597222222,0.037932689,0.055782128,90.62851828,"₩25,400,000 ","₩4,568,472 ","₩5,040,877 ","₩20,359,123 "
기아 주식회사,A0110007300061221,EV6,2022,2021-10-20,우수,4.016833333,92.74202971,3.744444444,0.038701134,0.061782527,89.95163387,"₩25,400,000 ","₩4,755,444 ","₩5,286,668 ","₩20,113,332 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-13,우수,4.0245,92.95790519,3.597222222,0.037932689,0.037646589,92.44207223,"₩25,400,000 ","₩4,568,472 ","₩4,941,984 ","₩20,458,016 "
기아 주식회사,A0110007300181221,EV6,2022,2021-11-15,우수,3.8915,89.11543421,3.675,0.038340579,0.130749107,83.09103141,"₩25,400,000 ","₩4,667,250 ","₩5,617,032 ","₩19,782,968 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-15,우수,3.913166667,89.76093346,3.591666667,0.037903386,0.041025363,92.10712515,"₩25,400,000 ","₩4,561,417 ","₩4,952,295 ","₩20,447,705 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-11,우수,3.892666667,89.15066185,3.602777778,0.037961969,0.08458076,87.74572711,"₩25,400,000 ","₩4,575,528 ","₩5,214,531 ","₩20,185,469 "
기아 주식회사,A0110007300061221,EV6,2022,2021-10-20,우수,3.895,89.22111712,3.744444444,0.038701134,0.063777672,89.75211943,"₩25,400,000 ","₩4,755,444 ","₩5,298,420 ","₩20,101,580 "
기아 주식회사,A0110007300061221,EV6,2022,2021-10-12,우수,3.903833333,89.48784064,3.766666667,0.038815804,0.072543864,88.86403315,"₩25,400,000 ","₩4,783,667 ","₩5,383,130 ","₩20,016,870 "
기아 주식회사,A0110007300201221,EV6,2022,2021-11-30,우수,3.9,89.37209269,3.633333333,0.038122609,0.111443441,85.04339495,"₩25,400,000 ","₩4,614,333 ","₩5,425,857 ","₩19,974,143 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,우수,3.9,89.37209269,3.577777778,0.037830029,0.043270034,91.88999372,"₩25,400,000 ","₩4,543,778 ","₩4,944,801 ","₩20,455,199 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-15,우수,3.9,89.37209269,3.591666667,0.037903386,0.072311005,88.97856091,"₩25,400,000 ","₩4,561,417 ","₩5,126,422 ","₩20,273,578 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-21,우수,3.9,89.37209269,3.575,0.037815341,0.025862109,93.632255,"₩25,400,000 ","₩4,540,250 ","₩4,849,023 ","₩20,550,977 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-17,우수,3.9,89.37209269,3.669444444,0.038311588,0.056332827,90.53555852,"₩25,400,000 ","₩4,660,194 ","₩5,147,364 ","₩20,252,636 "
